County,Median Household Income,Median Home Value,Median Gross Rent,Year,Price-to-Income Ratio,Rent-to-Income Ratio
"Washington County, Oregon",82215,386600,1359,2019,4.70230493218999,19.835796387520528
"Clackamas County, Oregon",80484,395100,1295,2019,4.909050246011629,19.308185477858952
"Multnomah County, Oregon",69176,386200,1237,2019,5.582861107898693,21.458309240198915
"Clackamas County, Oregon",82911,421100,1356,2020,5.078940068265972,19.625863878134385
"Multnomah County, Oregon",71425,410800,1309,2020,5.751487574378719,21.992299614980748
"Washington County, Oregon",86626,413500,1440,2020,4.773393669337151,19.94782167016831
"Clackamas County, Oregon",88517,452200,1447,2021,5.108623202322717,19.61657082820249
"Multnomah County, Oregon",76290,437600,1394,2021,5.736007340411588,21.92685804168305
"Washington County, Oregon",92025,439300,1541,2021,4.773702798152676,20.094539527302363
"Clackamas County, Oregon",95740,532200,1605,2022,5.558805097138082,20.116983496970963
"Multnomah County, Oregon",83668,492100,1515,2022,5.8815795764210925,21.728737390639193
"Washington County, Oregon",100121,504300,1695,2022,5.036905344533115,20.315418343803998
"Clackamas County, Oregon",100360,577900,1693,2023,5.758270227182145,20.243124750896772
"Multnomah County, Oregon",86247,528000,1582,2023,6.121952067898014,22.011200389578768
"Washington County, Oregon",104434,558500,1773,2023,5.3478752130532206,20.37267556542888
